Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",30,10,30,,,,
,63676,598.9558,545.157,253.86122,,,,111
,63692,611.2073,544.95276,254.44347,,,,111
,63709,644.97845,544.6976,255.43892,,,,111
,63725,655.3003,544.738,255.25728,,,,111
,63743,673.69147,545.1547,255.012,,,,111
,63759,694.24396,545.3868,254.58752,,,,111
,63776,694.24396,545.3868,254.58752,,,,111
,63793,702.94257,545.52094,254.03691,,,,111
,63811,709.40875,545.30304,253.12602,,,,111
,63827,709.40875,545.30304,253.12602,,,,111
,63842,711.2673,545.30786,252.80066,,,,111
,63859,711.3701,545.39044,252.4776,,,,111
