Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",80,80,666,,,,
,3093,0.0,0.0,0.0,,,,0
,6478,27.700632,135.12543,317.7088,,,,0
,6495,43.589073,148.07532,309.47507,,,,0
,6511,72.5289,176.19244,291.65845,,,,0
,6527,102.47929,209.34747,277.8538,,,,0
,6544,126.44525,242.39624,265.03104,,,,0
,6562,147.45996,272.51935,254.2638,,,,0
,6578,162.86382,299.72925,250.71388,,,,0
,6595,168.65314,311.64685,249.74164,,,,0
,6611,181.32909,338.77454,250.77742,,,,0
,6627,189.9668,357.31195,252.80135,,,,214
,6653,196.10324,373.42493,254.99747,,,,214
,6674,211.39322,399.8418,264.74738,,,,214
,6707,236.4183,417.20374,277.87726,,,,214
,6741,280.75433,425.68976,295.91815,,,,214
,6759,294.0667,426.01825,299.81506,,,,214
,6777,339.52722,425.9276,316.87457,,,,214
,6808,387.46964,430.1593,342.89996,,,,214
,6841,435.4293,420.03723,356.98737,,,,214
,6873,451.16434,416.06042,361.459,,,,214
,6891,460.9094,412.2846,364.9894,,,,214
,6908,466.26593,409.0688,366.60458,,,,214
,6925,468.71292,406.4198,367.22574,,,,214
,6942,468.36282,403.14642,366.94254,,,,214
,6973,459.48227,398.7074,367.07172,,,,214
,6991,454.7852,398.331,367.40094,,,,214
,7010,419.66226,405.8117,372.53116,,,,214
,7040,382.21326,430.3531,379.76392,,,,214
,7057,358.5766,449.2444,383.319,,,,214
,7078,336.32202,477.85687,388.31314,,,,214
,7108,309.38336,542.66144,400.64548,,,,214
,7141,311.93494,593.6698,411.36093,,,,214
,7173,348.84406,654.3549,432.49863,,,,214
,7190,380.65723,679.5519,444.83655,,,,214
,7208,421.44644,701.4385,456.43436,,,,214
,7241,485.29828,721.598,467.14404,,,,214
,7272,564.7215,700.7566,479.1969,,,,214
,7292,603.9494,675.3253,482.3351,,,,214
,7323,647.31854,634.1125,485.3176,,,,214
,7356,679.60236,548.0662,475.70056,,,,214
,7389,676.9308,464.59692,465.1563,,,,214
,7410,666.6589,432.17645,464.45746,,,,214
,7441,642.07025,392.04395,459.19666,,,,214
,7474,592.249,359.5251,454.13602,,,,214
,7506,533.57465,347.83807,449.6954,,,,214
