Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",10,40,40,,,,
,18058,622.81616,479.74493,446.4933,,,,70
,18075,591.9482,465.03662,450.54614,,,,70
,18093,560.731,451.39874,453.40707,,,,70
,18108,547.2915,446.15393,453.8155,,,,70
,18125,516.5976,432.61517,455.94537,,,,70
,18142,485.79614,420.30298,458.32736,,,,70
,18159,458.34985,412.8979,461.62573,,,,70
,18174,430.3623,409.16492,462.8487,,,,70
,18193,401.05377,407.67322,462.0125,,,,70
,18208,386.44098,408.26013,461.5211,,,,70
,18226,356.66434,411.76642,460.62292,,,,70
,18242,324.51007,420.86127,461.38837,,,,70
,18258,293.484,432.04803,461.33182,,,,70
,18275,267.34247,447.25427,460.28156,,,,70
,18291,246.31216,465.59595,461.7257,,,,70
,18310,230.3839,483.18085,464.73264,,,,70
,18325,224.80739,491.8354,465.52933,,,,70
,18342,219.75012,506.78302,468.20035,,,,70
,18359,221.3076,520.5715,471.56912,,,,70
,18375,230.73166,534.59515,477.82385,,,,70
,18392,250.25053,544.29974,482.81482,,,,70
,18408,263.30286,547.8289,485.87717,,,,70
,18426,297.21848,551.7596,491.9532,,,,70
,18442,343.18896,549.95953,499.5244,,,,70
,18460,397.50198,545.4864,509.71396,,,,70
,18475,451.0316,532.4461,518.6775,,,,70
,18493,500.20355,512.03094,525.14966,,,,70
,18508,542.2848,486.78845,530.79645,,,,70
,18526,573.4665,459.64313,533.2486,,,,70
,18541,586.1477,445.67688,532.3601,,,,70
,18559,599.8918,414.31195,530.7538,,,,70
,18576,602.0106,381.74683,528.31433,,,,70
,18592,593.67163,348.70093,520.11127,,,,70
,18611,577.18494,320.3672,511.07202,,,,70
,18625,563.3222,304.39423,507.42877,,,,70
,18644,514.80743,270.17157,495.11417,,,,70
,18658,476.45898,256.75037,487.02094,,,,70
,18676,433.3647,251.3695,479.995,,,,70
,18692,433.3647,251.3695,479.995,,,,70
,18709,409.03778,250.9256,477.7503,,,,70
,18727,361.80374,263.31427,472.81616,,,,70
,18742,319.2521,274.65802,469.5047,,,,70
,18759,286.4105,295.37744,464.49063,,,,70
,18775,266.4018,330.35657,467.3357,,,,70
,18792,263.27002,372.87714,474.83017,,,,70
,18808,275.26346,419.13965,485.18927,,,,70
,18827,299.70642,466.00574,498.06113,,,,70
,18842,334.868,509.96173,512.4391,,,,70
,18859,334.868,509.96173,512.4391,,,,70
,18875,440.65604,593.54834,539.7532,,,,70
,18892,492.9822,618.2174,553.4939,,,,70
,18910,547.686,633.0768,561.4048,,,,70
,18927,599.6141,632.65784,565.9936,,,,70
,18942,646.52136,620.7128,565.5205,,,,70
,18958,667.2597,610.2002,564.65857,,,,70
,18976,704.723,579.18054,559.5406,,,,70
,18991,731.3393,534.749,547.6638,,,,70
,19010,748.1647,487.81476,534.27563,,,,70
,19025,761.8215,427.89655,516.96326,,,,70
,19043,771.15295,367.21924,500.08456,,,,70
,19059,775.9786,340.11316,492.6348,,,,70
,19075,783.2643,288.87665,486.5416,,,,0
,19092,792.9097,238.22656,479.45892,,,,0
,19108,806.049,194.78857,471.52283,,,,0
,19126,822.4892,159.38324,468.1582,,,,0
,19142,838.97125,127.572876,465.169,,,,0
,19158,848.0447,116.95447,464.49835,,,,0
,19175,864.4228,101.00415,465.87845,,,,0
,19192,879.8121,92.407776,466.57343,,,,0
,19210,891.79694,87.09515,467.7839,,,,0
,19225,899.77704,87.02057,469.1314,,,,0
,19241,906.25116,90.559814,467.70776,,,,0
,19259,908.95276,105.020935,464.67346,,,,0
,19275,900.9606,131.29175,457.74637,,,,0
,19291,893.1874,149.29596,453.71286,,,,0
,19308,875.19257,184.97156,447.5649,,,,0
,19325,849.3133,222.64368,440.11102,,,,0
,19342,815.75604,261.51538,434.86078,,,,0
,19358,777.84863,299.8806,426.86633,,,,0
,19375,734.1554,337.51825,420.7232,,,,70
,19391,710.47437,358.11523,418.1127,,,,70
,19409,662.2591,389.9958,413.00354,,,,70
,19425,611.44635,417.10785,407.81683,,,,70
,19442,562.1599,443.4909,408.00153,,,,70
,19459,513.27936,456.7644,401.2811,,,,70
,19475,490.26324,460.0005,398.08945,,,,70
,19492,444.42612,462.63794,391.51187,,,,70
,19509,404.18454,458.568,384.2899,,,,70
,19525,364.26538,442.0937,376.9091,,,,70
,19542,334.02875,419.97113,371.31125,,,,70
,19559,314.35727,390.711,369.0396,,,,70
,19575,306.8172,358.6819,369.52213,,,,70
,19592,307.22336,343.16937,367.6884,,,,70
,19609,317.51248,310.84174,367.02612,,,,70
,19625,339.62158,282.1131,367.5021,,,,70
,19642,369.83914,258.92523,370.21045,,,,70
,19659,410.88956,244.1781,372.91254,,,,70
,19675,460.8301,233.90234,375.55804,,,,70
,19693,513.0123,232.45227,380.27075,,,,70
,19708,565.22974,238.21857,388.13992,,,,70
,19724,589.8727,245.76898,391.0697,,,,70
,19742,636.621,267.0902,396.6204,,,,70
,19758,675.7235,295.5681,401.0282,,,,70
,19775,704.3834,327.3214,402.8878,,,,70
,19794,728.1204,367.352,403.421,,,,70
,19809,743.14954,414.9502,406.39206,,,,70
,19825,746.85474,439.53284,408.0871,,,,70
,19841,744.5243,486.47864,411.14508,,,,70
,19859,733.9123,533.754,414.87317,,,,70
,19876,712.5848,575.4414,412.38046,,,,70
,19893,680.93445,613.6699,413.11795,,,,70
,19908,639.61176,650.02344,418.59595,,,,70
,19925,594.7071,667.666,417.55917,,,,70
,19942,569.5583,668.14545,412.4674,,,,70
,19959,515.1474,663.82764,402.86658,,,,70
,19975,464.23257,654.22644,403.9725,,,,70
,19992,438.6591,639.76825,401.4065,,,,70
,20009,356.89746,571.0576,386.22598,,,,70
,20025,329.89233,533.4364,383.37067,,,,70
,20043,317.45544,510.73914,383.65594,,,,70
,20059,299.2353,459.6905,386.689,,,,70
,20075,292.6577,409.75555,390.19348,,,,70
,20092,297.06943,360.05768,395.58755,,,,70
