Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",65,60,65,,,,
,64269,606.9387,566.2999,256.65866,,,,183
,64285,607.6031,566.25916,257.04608,,,,183
,64301,608.63745,566.2555,257.47678,,,,183
,64319,609.5796,566.2081,257.75403,,,,183
,64334,609.9569,566.1892,257.86505,,,,183
,64352,610.6343,566.1487,258.04782,,,,183
,64369,611.24396,566.1017,258.1553,,,,183
,64386,611.62976,566.1312,258.2323,,,,183
,64402,611.7176,566.2124,258.21478,,,,183
,64418,611.6962,566.2942,258.1958,,,,183
,64435,610.8708,567.14087,258.3776,,,,183
,64453,609.4861,568.0706,258.41205,,,,183
,64469,608.3684,568.56287,258.3706,,,,183
,64485,605.4693,569.68756,258.19214,,,,183
,64502,602.4906,570.5668,258.07373,,,,183
,64519,599.22095,571.5445,258.01904,,,,183
,64535,595.9893,572.412,258.00696,,,,183
,64553,592.30365,573.17773,257.50793,,,,183
,64569,589.1659,573.83795,257.4444,,,,183
,64587,589.1659,573.83795,257.4444,,,,183
,64602,586.39105,574.27844,257.6253,,,,183
,64619,584.0617,574.6145,257.82648,,,,183
,64636,582.1931,574.89655,258.11328,,,,183
,64652,580.5703,575.1001,258.45276,,,,183
,64669,579.22943,575.1965,258.88162,,,,183
