Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",80,100,100,,,,
,63325,796.6203,537.50507,228.91899,,,,255
,63342,770.4496,537.72235,223.78322,,,,214
,63358,735.25555,538.0035,218.68987,,,,214
,63374,695.8025,538.68195,215.49734,,,,214
,63390,675.8765,538.7034,215.30121,,,,214
,63409,618.4099,539.18585,216.80473,,,,214
,63424,601.8331,539.4392,218.4146,,,,214
,63442,570.37036,540.69214,221.49416,,,,214
,63458,543.9142,541.98126,223.95282,,,,214
,63474,523.0049,543.11664,226.79076,,,,214
,63490,514.1719,543.4401,228.30745,,,,214
