Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",35,40,40,,,,
,31073,668.76306,457.1206,338.8355,,,,70
,31093,673.78,455.94696,337.83765,,,,121
,31106,676.3822,454.57373,336.26614,,,,121
,31123,676.2742,453.19104,334.1726,,,,121
,31141,669.1124,449.8714,327.69247,,,,121
,31157,656.8251,447.146,319.80762,,,,121
,31173,639.5148,445.41602,310.4602,,,,121
,31191,618.3372,444.98486,302.26794,,,,121
,31208,593.8539,447.4986,295.5948,,,,121
,31222,572.3459,449.17108,288.18994,,,,121
,31241,549.75775,452.5813,278.16425,,,,121
,31257,532.7869,456.9649,272.64258,,,,121
,31274,525.00385,459.40997,270.8125,,,,121
,31291,514.30963,464.40417,267.39398,,,,121
,31307,509.56125,467.05164,265.82104,,,,121
,31325,508.95212,468.0575,265.11276,,,,121
,31340,514.2153,467.77753,264.65558,,,,121
,31357,522.1954,465.4532,264.7673,,,,121
,31374,567.70056,446.2707,269.8318,,,,121
,31391,586.99677,436.82013,272.8594,,,,121
,31406,630.82074,414.30408,281.276,,,,121
,31425,679.9528,387.84192,286.43384,,,,121
,31440,732.1257,359.8014,294.47382,,,,121
,31456,790.19,333.45343,303.7875,,,,0
,31472,819.20917,320.34363,307.39575,,,,0
,31491,930.31573,278.1574,320.56055,,,,0
,31507,981.31226,266.23383,326.38168,,,,0
,31524,1042.2446,256.5299,333.9697,,,,0
,31541,1106.5973,251.94562,343.38867,,,,0
,31556,1140.136,251.15265,348.23584,,,,0
,31575,1208.326,254.53595,358.10065,,,,0
,31590,1269.8109,266.76935,366.90994,,,,132
,31607,1328.1727,290.024,369.59592,,,,132
,31624,1373.6321,316.9743,372.25046,,,,132
,31640,1391.8759,334.713,371.5522,,,,132
,31658,1417.7628,370.9162,366.97894,,,,132
,31674,1427.0952,404.1629,360.24197,,,,132
,31691,1421.1576,428.07715,347.57812,,,,132
,31708,1397.823,444.43915,329.98645,,,,132
,31723,1358.266,453.26447,312.09155,,,,132
,31742,1304.0923,452.99823,298.29996,,,,132
,31758,1274.3615,450.03564,291.37323,,,,132
,31774,1206.9802,436.72803,275.30768,,,,132
,31790,1133.2086,421.5119,260.79404,,,,132
,31808,1054.2625,401.04468,250.37447,,,,0
,31824,972.50745,381.4735,244.46687,,,,0
,31842,888.4678,365.72028,240.13034,,,,0
,31858,804.37274,352.82764,238.50743,,,,0
,31876,720.5927,345.32,238.51782,,,,121
,31892,678.7358,344.50024,238.9075,,,,121
,31908,603.91394,347.85638,242.93547,,,,121
,31925,535.7841,358.8095,251.14883,,,,121
,31942,480.56845,381.43805,257.84775,,,,121
,31959,442.15768,412.97015,267.83057,,,,121
,31976,442.15768,412.97015,267.83057,,,,121
,31992,416.33484,446.7469,278.5539,,,,121
,32008,407.49796,481.59436,292.35205,,,,121
,32025,416.4075,516.2514,309.47778,,,,121
,32042,438.57324,546.7757,326.69403,,,,121
,32058,474.04538,573.9265,349.08957,,,,121
,32075,516.88916,583.3151,366.97513,,,,121
,32092,563.5258,583.21045,382.01016,,,,121
,32108,609.4848,574.1084,396.12698,,,,121
,32124,647.42615,554.63104,406.56628,,,,121
,32142,672.3627,524.8224,411.96243,,,,121
,32158,677.00574,508.43512,411.7682,,,,121
,32175,672.71075,467.78223,405.2041,,,,121
,32193,653.8322,426.79553,394.03485,,,,121
,32208,616.8088,383.95148,382.49103,,,,121
,32225,566.57635,342.85858,366.027,,,,121
,32242,507.25577,307.19586,350.3796,,,,121
,32258,475.49966,293.45148,344.87326,,,,121
,32276,409.62473,273.2649,333.3516,,,,121
,32291,343.99542,264.5893,323.5887,,,,121
,32308,281.61166,265.36682,317.287,,,,121
,32325,228.44637,278.08282,311.64142,,,,0
,32341,189.72083,300.40594,306.18317,,,,0
,32359,177.46744,317.38885,306.26172,,,,0
,32374,162.64023,357.56152,312.2445,,,,0
,32392,164.91772,406.53552,319.8859,,,,121
,32408,183.15016,461.4223,334.55527,,,,121
,32425,214.4924,516.457,351.72943,,,,121
,32441,257.1904,570.6518,379.16006,,,,121
,32459,306.14267,609.2938,389.41086,,,,121
,32476,361.8267,636.8,399.41092,,,,121
,32493,418.3946,651.30896,409.29214,,,,121
,32508,445.11813,653.68915,411.36395,,,,121
,32526,493.53674,648.73303,408.45047,,,,121
,32541,537.70984,634.0082,403.39908,,,,121
,32558,573.6018,609.76074,394.02927,,,,121
,32575,601.5985,578.2183,380.08582,,,,121
,32591,611.77924,559.07935,372.89044,,,,121
,32609,624.38196,517.1074,358.49542,,,,121
,32624,628.3529,491.54626,347.80408,,,,121
,32642,616.67017,414.19885,325.56885,,,,121
,32658,600.86505,375.32666,314.10223,,,,121
,32675,576.5801,338.1151,300.944,,,,121
,32691,559.652,320.07526,293.50244,,,,121
,32708,518.5867,286.90607,276.85123,,,,121
,32724,475.12973,262.9981,263.54947,,,,121
,32742,431.1052,251.39948,251.17285,,,,121
,32757,390.49973,251.65643,236.99931,,,,121
,32775,352.08087,266.92822,221.252,,,,121
,32792,336.29733,279.34735,215.83582,,,,121
,32808,312.04755,315.7956,213.60521,,,,121
,32825,301.54312,361.2367,217.23944,,,,121
,32841,308.48468,412.5973,226.94637,,,,121
,32859,328.38425,463.1021,248.42955,,,,121
,32875,359.0933,506.86432,278.38947,,,,121
,32891,396.31323,545.50604,316.19647,,,,121
,32908,415.8671,560.58234,337.2765,,,,121
,32926,454.60944,583.07947,383.99,,,,121
,32942,487.8665,594.06726,434.0508,,,,121
,32959,513.08093,594.44824,483.7134,,,,121
,32975,527.0232,585.54517,533.7565,,,,121
,32992,530.4526,580.19775,560.8054,,,,121
,33009,0.0,0.0,0.0,,,,0
,33309,580.7333,464.5039,550.3231,,,,121
,33326,587.2247,463.13007,477.0348,,,,121
,33342,590.7241,463.48523,443.78696,,,,121
,33360,602.93494,463.32867,378.78683,,,,121
,33376,620.3242,467.25842,322.33435,,,,121
,33393,639.99475,469.16388,266.62073,,,,121
,33409,664.31,470.19507,206.51955,,,,121
,33426,686.68384,470.46655,149.1084,,,,121
,33442,695.9658,469.75543,121.14432,,,,121
,33460,712.6977,465.17615,64.61548,,,,121
,33476,724.23193,462.28265,11.018593,,,,121
,33493,732.461,458.13696,-46.01114,,,,121
,33509,735.1339,454.70593,-106.890594,,,,121
,33526,731.4765,453.27722,-164.19713,,,,121
,33543,719.56635,449.09436,-216.39294,,,,121
,33559,712.75085,448.8687,-242.8252,,,,121
,33576,692.99225,446.89655,-286.32236,,,,121
,33592,670.6803,443.56195,-323.99738,,,,121
,33610,647.3986,441.85876,-347.5959,,,,121
,33626,619.25116,439.03113,-369.3908,,,,121
,33643,590.3532,434.96655,-387.59216,,,,121
,33672,539.97156,433.19122,-398.83588,,,,121
,33690,498.59177,434.38977,-402.17807,,,,121
,33706,457.55606,440.21045,-400.304,,,,121
,33723,416.70535,453.85913,-393.69574,,,,121
,33740,377.88168,470.9292,-376.4431,,,,121
,33756,349.64343,489.088,-353.30798,,,,121
,33774,349.64343,489.088,-353.30798,,,,121
,33790,327.7108,526.9227,-306.82254,,,,121
,33807,329.18704,537.73376,-287.48633,,,,121
,33824,343.71417,558.07623,-247.38303,,,,121
