Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",50,80,80,,,,
,64063,620.28625,563.9095,253.49704,,,,152
,64079,620.28625,563.9095,253.49704,,,,152
,64095,615.9162,564.6786,253.9094,,,,152
,64113,612.3813,565.4161,254.33786,,,,152
,64129,610.0412,565.95624,254.64525,,,,152
,64146,608.418,566.3413,254.92085,,,,152
,64166,607.4226,566.5408,255.19934,,,,152
,64185,606.8496,566.5562,255.39015,,,,152
,64202,606.6445,566.5415,255.6325,,,,152
,64219,606.5154,566.499,255.86075,,,,152
,64235,606.48914,566.4372,256.0899,,,,152
,64252,606.5685,566.3671,256.3402,,,,152
