Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",40,40,666,,,,
,63508,506.68784,543.98346,230.00537,,,,132
,63524,491.2825,544.5384,234.23022,,,,132
,63541,489.49905,544.6603,234.85318,,,,132
,63561,487.88486,544.8801,236.54036,,,,132
,63575,490.00284,544.94794,238.21844,,,,132
,63593,499.35617,545.11896,242.04198,,,,132
,63608,507.25864,545.2447,244.26653,,,,132
,63626,507.25864,545.2447,244.26653,,,,132
,63642,546.96155,545.0579,249.03445,,,,132
,63659,573.68866,545.1965,251.93849,,,,132
