Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",80,60,80,,,,
,17646,873.1319,474.90375,453.96674,,,,0
,17663,877.63727,468.9214,455.89078,,,,0
,17680,882.8204,463.2409,456.93628,,,,0
,17697,889.52954,458.919,457.89664,,,,0
,17714,889.52954,458.919,457.89664,,,,0
,17730,905.6958,454.46332,460.1187,,,,0
,17746,915.96136,454.3777,461.92563,,,,0
,17763,924.1538,455.73285,463.27765,,,,0
,17780,929.86383,458.531,463.99173,,,,0
,17806,933.1721,465.8943,463.27295,,,,0
,17824,928.7308,474.08392,461.29498,,,,0
,17842,918.36053,482.69122,458.63895,,,,0
,17860,901.4983,491.55548,455.8544,,,,0
,17876,880.3905,499.95398,451.80228,,,,0
,17892,857.2388,506.40143,448.15634,,,,0
,17908,845.2606,509.6637,447.08673,,,,0
,17926,821.04663,513.7892,443.96646,,,,214
,17941,797.6754,516.6457,441.11664,,,,214
,17959,772.7687,516.55994,438.174,,,,214
,17975,749.24335,515.4039,437.54205,,,,214
,17994,724.67554,512.92035,438.50412,,,,214
,18009,710.5123,509.85303,439.5829,,,,214
,18026,682.2539,502.086,441.26932,,,,214
,18043,653.3422,492.52234,443.29077,,,,214
