Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",80,40,80,,,,
,64686,577.84283,575.1948,259.29852,,,,214
,64701,576.51776,575.0431,259.62814,,,,214
,64718,574.61865,574.5421,259.95752,,,,214
,64735,572.34503,573.6019,260.08243,,,,214
,64752,570.883,572.8478,259.7893,,,,214
,64769,569.50995,572.03424,259.47424,,,,214
,64785,566.8261,570.7295,258.98798,,,,214
,64802,564.2669,569.219,258.56665,,,,214
,64819,561.53595,567.0045,258.20047,,,,214
,64836,558.6852,564.4099,257.84924,,,,214
,64852,557.53534,563.1782,257.72028,,,,214
,64869,555.3078,560.2145,257.45074,,,,214
,64886,552.8861,556.62897,257.195,,,,214
,64902,552.3982,555.6757,257.1714,,,,214
,64919,551.67175,553.766,257.21854,,,,214
,64936,550.8384,551.6043,257.39246,,,,214
,64953,549.9154,549.286,257.64407,,,,214
,64969,549.0365,547.90674,257.53918,,,,214
,64986,545.611,544.3663,257.37762,,,,214
,65002,536.9454,539.0645,255.3398,,,,214
,65019,523.13257,532.7192,251.1193,,,,214
,65037,503.51547,522.99963,242.71239,,,,214
,65053,478.48013,508.3451,229.5475,,,,214
,65069,452.44653,490.66895,219.06213,,,,214
,65087,441.4224,481.82123,212.27716,,,,214
,65103,421.27036,456.04034,199.13397,,,,214
,65118,413.87402,432.0357,189.71161,,,,214
,65135,415.30838,399.42047,171.83144,,,,214
,65153,430.27686,367.59357,162.5394,,,,214
,65169,458.9973,334.96436,151.67342,,,,214
,65185,499.8096,307.4693,143.54758,,,,214
,65201,525.11646,294.53363,141.15567,,,,214
,65220,583.74994,269.74603,135.01302,,,,214
,65235,648.9197,250.08551,132.45921,,,,214
,65253,717.3731,236.44751,130.08316,,,,0
,65268,783.75073,228.3396,128.46832,,,,0
,65286,851.6031,225.08856,122.69557,,,,0
,65302,883.67896,227.22217,119.943695,,,,0
,65319,944.83185,238.86261,118.359245,,,,0
,65335,999.71063,259.68018,115.17762,,,,0
,65353,1048.7919,290.77954,115.04332,,,,0
,65368,1088.3544,327.65918,113.17474,,,,0
,65385,1117.9469,373.89368,112.50555,,,,0
,65401,1137.3044,418.2929,111.90466,,,,132
,65419,1142.4011,469.54504,110.06897,,,,132
,65436,1138.563,496.64813,113.14882,,,,132
,65453,1118.8145,548.58466,117.31845,,,,132
,65470,1084.0419,598.1332,124.40239,,,,0
,65488,1034.137,642.3002,127.677246,,,,0
,65502,970.15015,675.6239,128.90741,,,,0
,65519,891.7778,699.3213,130.2421,,,,0
,65535,803.83704,711.8596,127.0041,,,,0
,65552,760.5112,714.5037,127.0928,,,,214
,65569,674.23145,710.51044,131.16153,,,,214
,65585,593.4443,690.26025,131.73648,,,,214
,65602,525.5473,656.7739,132.41135,,,,214
,65619,477.89377,613.39,134.67732,,,,214
,65635,461.74405,588.4266,136.67242,,,,214
,65652,447.8893,535.05206,137.48346,,,,214
,65670,453.93866,475.74536,137.65895,,,,214
,65685,480.43195,415.35687,138.63574,,,,214
,65704,526.309,358.77063,142.46912,,,,214
,65719,555.1277,334.72766,145.23233,,,,214
,65737,625.52325,291.79913,149.61197,,,,214
,65753,706.67206,254.22375,148.93864,,,,0
,65769,794.6264,226.38324,150.20255,,,,0
,65786,889.13293,207.71808,148.64566,,,,0
,65802,985.056,204.78033,147.6033,,,,0
,65820,1079.4758,210.5705,150.60733,,,,0
,65836,1171.7607,228.00916,153.09702,,,,0
,65853,1255.5599,260.4931,153.9242,,,,132
,65871,1294.2338,278.5999,153.43582,,,,132
,65886,1361.2476,325.51135,151.10336,,,,132
,65902,1416.1469,380.99457,150.24753,,,,132
,65919,1416.1469,380.99457,150.24753,,,,132
,65936,1470.7261,512.5919,153.18378,,,,132
,65953,1470.2091,539.2321,153.17743,,,,132
,65968,1453.4103,597.3904,156.03943,,,,132
,65985,1414.3602,650.5126,158.47787,,,,132
,66002,1356.0149,697.6487,154.82648,,,,132
,66020,1276.988,735.3646,150.70203,,,,132
,66037,1182.3689,759.0961,151.17786,,,,132
,66052,1131.5431,766.0265,149.20575,,,,0
,66070,1026.1744,768.976,146.72183,,,,0
,66086,922.07605,758.0205,147.43912,,,,0
,66102,826.63257,732.7068,148.66772,,,,0
,66120,743.60834,692.1999,150.19931,,,,214
,66136,674.4926,640.1682,154.314,,,,214
,66153,621.72943,584.25037,156.17816,,,,214
,66170,585.52716,521.793,160.83878,,,,214
,66186,566.9848,462.14612,163.84201,,,,214
,66203,562.0391,408.10944,168.83504,,,,214
,66219,568.75555,357.8587,173.72705,,,,214
,66237,568.75555,357.8587,173.72705,,,,214
,66251,584.29803,313.9132,177.25969,,,,214
,66268,605.208,283.90637,177.45947,,,,214
,66286,632.51044,260.1684,171.62823,,,,214
,66303,645.2094,257.37463,164.7138,,,,214
,66319,645.2094,257.37463,164.7138,,,,214
,66336,660.4269,265.4779,149.48172,,,,214
,66354,676.1755,289.15918,132.11786,,,,214
,66369,689.10736,331.47058,120.6981,,,,214
,66386,699.4313,382.49835,114.43469,,,,214
,66402,705.2515,410.66473,112.13617,,,,214
,66418,722.9287,471.3164,107.110794,,,,214
,66437,752.3435,534.49536,106.94603,,,,214
,66451,794.0937,593.58984,107.886475,,,,214
,66470,854.34015,646.5574,112.71881,,,,0
,66485,931.64594,687.7478,117.487206,,,,0
,66504,1025.0955,716.15204,124.36876,,,,0
,66518,1076.5391,724.989,128.28651,,,,0
,66536,1184.7913,731.2554,135.62473,,,,132
,66553,1292.8595,724.85,144.74211,,,,132
,66568,1393.5405,705.1368,151.45676,,,,132
,66585,1483.1804,674.3395,158.69891,,,,132
,66602,1554.5131,634.11383,151.47314,,,,132
,66620,1584.7006,608.7548,144.23386,,,,132
,66636,1613.8374,567.1928,139.52779,,,,132
,66652,1626.6122,512.07666,125.33803,,,,132
,66670,1611.5905,461.6845,106.86126,,,,132
,66685,1577.184,412.3332,86.85568,,,,132
,66705,1517.7085,368.3695,71.14954,,,,132
,66719,1445.8623,333.09564,58.344395,,,,132
,66735,1405.1768,315.94818,53.472813,,,,132
,66753,1316.7773,290.73053,40.03977,,,,132
,66770,1218.0757,271.78778,32.385086,,,,132
,66785,1110.6909,267.56512,26.331646,,,,0
,66804,998.7051,278.89966,30.586102,,,,0
,66819,887.79016,297.7094,32.43258,,,,0
,66835,833.8945,313.51385,36.84907,,,,0
,66853,735.2429,355.10406,48.997078,,,,214
,66868,649.91565,404.27893,62.80165,,,,214
,66887,580.3212,459.83154,81.998184,,,,214
,66902,531.791,518.18176,97.2079,,,,214
,66920,514.6919,576.61865,115.28621,,,,214
,66937,529.23096,635.6809,131.41234,,,,214
,66952,584.0776,691.0346,140.53241,,,,214
,66970,672.6852,740.9487,147.84729,,,,214
,66985,726.89825,763.5665,152.9323,,,,214
,67003,847.88477,797.4732,160.9252,,,,0
,67021,978.27026,816.11957,169.27658,,,,0
,67036,1106.6465,815.8397,176.5065,,,,0
,67054,1222.6609,800.91235,183.03098,,,,132
,67071,1222.6609,800.91235,183.03098,,,,132
,67086,1382.3374,744.1355,173.81578,,,,132
,67102,1433.2411,704.6769,161.18329,,,,132
,67119,1468.0896,659.6226,140.92084,,,,132
,67136,1480.2549,608.4642,121.32522,,,,132
,67153,1478.4896,580.5381,112.59684,,,,132
,67170,1460.2087,533.6834,96.33152,,,,132
,67185,1424.6642,492.19348,80.45059,,,,132
,67202,1376.9661,457.3803,65.991035,,,,132
,67219,1310.005,428.17114,52.408028,,,,132
,67237,1230.2451,406.92023,40.22766,,,,132
,67253,1135.1523,388.6042,29.099403,,,,132
,67268,1084.3632,382.18652,25.839249,,,,0
,67285,977.35095,375.44434,19.493732,,,,0
,67304,756.3806,386.13318,23.406528,,,,0
,67319,756.3806,386.13318,23.406528,,,,214
,67335,656.5782,399.64594,29.485435,,,,214
,67354,570.0152,414.1195,38.570267,,,,214
,67369,531.07404,420.0645,42.19567,,,,214
,67386,465.9705,430.30963,51.39537,,,,214
,67402,419.42914,438.7044,60.706493,,,,214
,67418,397.60727,444.95996,74.20049,,,,214
,67438,392.26944,445.91016,80.9009,,,,214
,67452,404.1917,444.17517,88.34864,,,,214
,67470,455.17355,438.4364,98.7175,,,,214
,67485,488.66797,435.5849,104.074234,,,,214
,67504,569.04443,428.1983,113.16261,,,,214
,67519,662.5518,419.09784,120.13162,,,,214
,67537,766.52954,407.62958,125.20816,,,,214
,67553,874.6959,394.64813,129.80188,,,,0
,67569,984.04126,377.893,130.00658,,,,0
,67586,1092.4054,361.87585,132.45013,,,,0
,67602,1196.9816,342.3318,132.63783,,,,132
,67619,1244.8761,335.20593,131.45259,,,,132
,67635,1335.0964,319.0448,130.99554,,,,132
,67652,1415.9073,307.54077,128.211,,,,132
,67671,1505.5377,285.89215,119.2312,,,,132
,67686,1523.7008,281.08124,112.01723,,,,132
,67703,1543.7638,271.66772,107.779655,,,,132
,67719,1549.3422,260.75873,107.261795,,,,132
,67735,1537.4254,236.76599,98.56602,,,,132
,67754,1504.2534,217.96283,81.69652,,,,132
,67768,1448.398,201.46173,65.42178,,,,132
,67787,1376.1194,191.7735,56.81916,,,,132
,67802,1332.263,185.93665,52.251717,,,,0
,67819,1236.4338,173.19781,45.606457,,,,0
,67837,1132.9618,163.13281,42.775536,,,,0
,67852,1023.2568,149.45557,42.50802,,,,0
,67868,915.0567,137.8241,42.349014,,,,0
,67885,810.9895,126.16321,50.06459,,,,0
,67902,718.26,116.5022,61.440113,,,,0
,67918,676.22534,113.41974,69.475266,,,,0
,67936,600.26807,106.67816,86.05891,,,,0
,67952,535.0993,99.94122,99.822525,,,,0
,67969,483.6724,95.45007,110.97919,,,,0
,67985,446.43127,95.362,121.15204,,,,0
,68002,423.88763,95.41138,127.201385,,,,0
,68018,414.10367,96.236206,129.83813,,,,0
,68035,412.24637,97.66266,131.20941,,,,0
,68052,417.05783,98.97809,133.35664,,,,0
,68068,451.49112,104.573425,136.69281,,,,0
,68086,511.28052,110.059875,137.10509,,,,0
,68102,585.6187,114.98187,135.02902,,,,0
,68119,628.73914,117.93036,133.80145,,,,0
,68136,725.01904,121.48541,122.109634,,,,0
,68152,830.3073,122.94318,111.13164,,,,0
,68168,942.089,124.890564,106.74776,,,,0
,68185,1060.6744,130.83313,90.03919,,,,0
,68202,1120.4427,131.49512,83.383545,,,,0
,68220,1120.4427,131.49512,83.383545,,,,0
,68235,1359.5153,147.79132,67.24141,,,,0
,68252,1457.3787,151.05737,59.348503,,,,0
,68268,1552.4027,154.7074,58.824093,,,,0
,68286,1635.0945,159.20648,60.431946,,,,0
,68302,1696.032,157.40302,59.727406,,,,0
,68320,1737.8665,150.75989,56.115273,,,,0
,68335,1754.8439,146.3758,50.788742,,,,0
,68352,1756.3105,144.23389,48.048744,,,,0
,68370,1752.8376,143.75885,47.83744,,,,0
,68385,1710.1106,141.06921,38.578987,,,,0
,68404,1648.4712,135.57965,24.973,,,,0
,68419,1566.9575,130.11566,11.459251,,,,0
,68435,1469.8555,124.09595,1.7955551,,,,0
,68453,1357.8807,121.54138,-4.7191696,,,,0
,68469,1298.8031,118.84509,-3.1721268,,,,0
,68485,1172.8508,114.91498,-2.5158768,,,,0
,68504,1046.2916,112.0199,2.9647446,,,,0
,68518,1046.2916,112.0199,2.9647446,,,,0
,68536,786.11127,105.10901,32.072147,,,,0
,68552,664.6583,102.70215,49.996014,,,,0
,68569,664.6583,102.70215,49.996014,,,,0
,68586,446.081,95.49524,95.899155,,,,0
,68602,446.081,95.49524,95.899155,,,,0
,68619,310.09433,96.06549,131.91496,,,,0
,68635,310.09433,96.06549,131.91496,,,,0
,68654,234.78429,97.153564,152.08511,,,,0
,68669,177.10971,103.30554,170.08072,,,,0
,68687,138.69565,109.798584,184.7492,,,,0
,68702,117.230576,118.46008,196.67609,,,,0
,68719,109.07439,126.2959,206.94179,,,,0
,68735,112.77028,139.06409,216.59448,,,,0
,68753,118.204285,146.20941,217.92699,,,,0
,68769,147.86725,171.12262,221.88058,,,,0
,68785,188.47041,196.49768,218.05188,,,,0
,68802,237.38852,224.11884,213.60902,,,,0
,68818,294.31143,256.30902,205.67398,,,,214
,68836,356.541,292.74762,200.22476,,,,214
,68853,422.62088,330.49243,193.50403,,,,214
,68871,457.15204,350.19672,188.47076,,,,214
,68886,526.79297,388.63928,174.15865,,,,214
,68902,595.36786,429.1626,164.58667,,,,214
,68919,657.6792,467.73645,157.95453,,,,214
,68936,714.32715,504.91284,151.02089,,,,214
,68954,760.6324,537.13403,138.02689,,,,214
,68969,781.6453,552.90234,133.57764,,,,214
,68985,816.6475,580.25415,125.22279,,,,214
,69003,839.72375,599.5797,119.22398,,,,0
,69019,853.80383,613.90784,111.82508,,,,0
,69037,859.2176,619.5233,107.518295,,,,0
,69052,859.7846,619.728,104.06542,,,,0
,69070,855.81195,608.54065,93.981445,,,,0
,69085,847.8414,581.36926,83.60395,,,,0
,69103,842.88184,564.5419,80.6134,,,,0
,69119,837.3269,528.0965,75.77525,,,,214
,69136,835.8934,486.93335,75.249756,,,,214
,69151,840.5196,442.4984,76.41962,,,,0
,69169,849.5012,398.56104,79.292366,,,,0
,69186,867.8726,354.5396,84.29492,,,,0
,69202,896.8904,311.0114,90.16493,,,,0
,69219,914.441,291.12952,94.934006,,,,0
,69236,953.4577,253.67072,104.74723,,,,0
,69252,1003.4481,227.45892,116.23407,,,,0
,69269,1057.9264,203.77435,128.3645,,,,0
,69286,1118.4141,186.11829,139.56496,,,,0
,69303,1182.0695,177.76788,148.45035,,,,0
,69319,1248.6061,175.8717,157.56812,,,,0
,69335,1279.7208,177.27057,160.55164,,,,0
,69352,1338.7787,182.82758,165.79489,,,,0
,69369,1338.7787,182.82758,165.79489,,,,0
,69386,1444.1115,224.58759,159.95026,,,,132
,69402,1483.6466,251.18939,160.47867,,,,132
,69419,1516.853,283.42657,158.67715,,,,132
,69436,1529.7422,301.83075,157.00198,,,,132
,69452,1556.0316,332.68597,153.29904,,,,132
,69470,1576.4751,366.9143,152.98105,,,,132
,69486,1589.6927,399.2282,148.74756,,,,132
,69502,1593.7919,432.7729,150.56921,,,,132
,69519,1593.495,449.95502,150.10176,,,,132
,69535,1587.5128,481.64124,155.52423,,,,132
,69552,1570.8267,513.22534,157.75497,,,,132
,69568,1547.514,539.03723,161.10239,,,,132
,69587,1513.649,562.3481,164.12723,,,,132
,69603,1471.6643,579.1583,164.75575,,,,132
,69619,1421.8157,588.339,166.15497,,,,132
,69636,1364.372,591.8261,168.45401,,,,132
,69652,1333.8491,591.463,171.0058,,,,132
,69668,1269.6034,587.75037,176.17177,,,,132
,69686,1202.3073,579.7992,179.43979,,,,132
,69702,1131.0538,568.0546,182.80951,,,,132
,69719,1058.1321,551.9151,187.02322,,,,0
,69737,985.9914,533.0037,191.47571,,,,0
,69753,911.33624,513.2924,201.57492,,,,0
,69769,875.6355,502.768,205.57263,,,,0
,69786,804.92725,477.57025,210.58295,,,,214
,69802,737.1398,450.0459,219.6076,,,,214
,69819,673.54877,426.43268,232.36969,,,,214
,69836,611.82794,407.0927,244.94952,,,,214
,69852,552.62726,392.52673,255.20906,,,,214
,69868,495.1002,381.58002,260.65967,,,,214
,69885,443.14822,377.56683,264.7603,,,,214
,69902,397.18204,381.1701,267.63013,,,,214
,69920,357.3417,388.44257,271.9448,,,,214
,69936,325.01218,404.17676,279.1446,,,,214
,69952,301.18533,424.34314,283.88135,,,,214
,69970,293.6631,434.14758,285.2517,,,,214
,69986,284.01144,456.52264,289.24213,,,,214
,70003,287.97238,483.4165,292.16934,,,,214
,70019,305.8165,508.1751,291.7716,,,,214
,70035,338.0066,535.1148,289.91327,,,,214
,70052,384.10947,561.72925,286.90866,,,,214
,70069,410.7675,573.8319,284.0065,,,,214
,70086,470.03122,595.2997,280.12903,,,,214
,70102,535.0437,613.3035,274.28207,,,,214
,70119,605.0335,630.18677,266.3938,,,,214
,70135,678.247,642.84845,254.54037,,,,214
,70152,754.11804,653.21423,239.78065,,,,214
,70169,792.4903,658.4227,232.29526,,,,214
,70186,871.8433,665.6877,219.96133,,,,0
,70202,951.0076,670.87494,209.73195,,,,0
,70220,1030.927,673.6376,199.76913,,,,0
,70236,1113.5521,672.10266,183.15634,,,,132
,70253,1193.5216,672.8417,173.6796,,,,132
,70270,1271.6957,674.58,168.63284,,,,132
