Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",80,80,666,,,,
,10646,1020.799,382.55756,513.6267,,,,0
,10663,1013.6801,380.31714,513.8436,,,,0
,10679,1007.4202,378.39844,514.14624,,,,0
,10696,1002.57416,377.04504,514.29584,,,,0
,10712,997.8841,376.06366,514.56433,,,,0
,10729,994.1089,375.68073,515.1238,,,,0
,10746,990.96814,375.44635,515.52936,,,,0
,10762,987.65424,375.3855,515.7402,,,,0
,10780,985.279,375.35364,515.80066,,,,0
,10796,979.7417,375.05414,515.74084,,,,0
,10812,976.3711,374.78906,515.7004,,,,0
,10829,962.1186,373.1411,514.8754,,,,0
,10845,951.3419,371.63043,514.36115,,,,0
,10863,936.30536,369.39795,512.82214,,,,0
,10880,927.66724,367.6222,511.9179,,,,0
,10895,910.55945,365.22516,509.22363,,,,0
,10912,890.7185,360.64233,505.3266,,,,0
,10929,880.3588,358.10626,503.1489,,,,0
,10946,848.35767,346.49713,494.53934,,,,0
,10962,839.5193,341.47772,491.6797,,,,0
,10980,826.07404,333.34564,487.3712,,,,0
,10997,817.25604,325.11035,485.5235,,,,0
,11012,813.91125,319.02057,484.69186,,,,0
,11029,818.3605,310.20038,485.392,,,,0
,11046,830.8864,302.589,488.49127,,,,0
,11062,841.9222,300.00397,490.14847,,,,0
,11079,872.94836,297.28558,495.42398,,,,0
,11095,913.5298,296.82806,505.04166,,,,0
,11113,962.17065,301.18335,517.4303,,,,0
,11128,1011.7495,309.03528,529.77527,,,,0
,11145,1037.793,314.97467,536.9509,,,,0
,11162,1090.7194,332.47083,549.32654,,,,0
,11180,1138.454,352.3369,558.27124,,,,214
,11196,1179.9596,375.2564,567.234,,,,214
,11213,1212.9409,402.44592,572.6128,,,,214
,11228,1224.6715,414.12476,573.18396,,,,214
,11245,0.0,0.0,0.0,,,,0
,11262,1250.6274,468.93445,570.70215,,,,214
,11279,1248.0543,499.80878,561.8627,,,,214
,11296,1235.5305,523.26605,551.18835,,,,214
,11312,1209.2427,547.77344,535.9707,,,,214
,11328,1193.6316,556.5425,526.70264,,,,214
,11346,1156.1385,570.2876,507.8292,,,,214
,11362,1110.2216,579.8073,489.762,,,,214
,11379,1063.707,581.3407,470.7708,,,,0
,11396,1021.555,571.4347,455.54797,,,,0
,11412,986.24927,554.5653,444.1403,,,,0
,11429,971.61163,539.9563,439.31747,,,,0
,11446,952.09247,505.9607,432.0697,,,,0
,11462,946.2179,467.98047,432.83063,,,,0
,11479,954.51764,428.34717,437.59653,,,,0
,11496,975.911,388.43335,444.3403,,,,0
,11513,1011.89923,348.59222,452.6278,,,,0
,11528,1033.4352,327.70526,459.3968,,,,0
,11545,1081.9299,292.72137,469.16678,,,,0
,11563,1133.5586,260.04993,482.3164,,,,0
,11579,1191.9875,238.64551,493.7622,,,,0
,11596,1249.2311,228.58698,506.31738,,,,0
,11612,1309.7478,222.47711,516.3694,,,,214
,11629,1339.4581,222.05841,520.4656,,,,214
,11645,1397.0914,228.14056,528.2368,,,,214
,11662,1448.8691,241.17981,534.77625,,,,214
,11678,1494.887,260.60364,538.29224,,,,214
,11696,1530.8682,284.78076,538.0232,,,,214
,11712,1558.0859,311.37152,537.2709,,,,214
,11730,1567.8524,325.97046,534.4182,,,,214
,11745,1583.0592,357.80487,528.235,,,,214
,11762,1584.7318,391.35052,516.67523,,,,214
,11779,1582.7635,414.60638,511.83063,,,,214
,11795,1570.1019,432.71082,505.15103,,,,214
,11812,1547.6155,449.00928,497.23022,,,,214
,11829,1530.8081,455.44604,491.63718,,,,214
,11845,1490.8864,461.25586,481.1746,,,,214
,11862,1438.7515,460.78668,468.08328,,,,214
,11889,1317.582,439.99005,437.44937,,,,214
,11906,1284.4272,430.57202,429.9141,,,,214
,11929,1152.4633,375.10858,403.0162,,,,214
,11945,1152.4633,375.10858,403.0162,,,,214
,11961,1090.5854,339.17084,399.08716,,,,0
,11989,976.38214,258.40125,395.9095,,,,0
,12007,956.8373,243.93732,395.99878,,,,0
,12025,920.759,213.5083,397.34134,,,,0
