Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",100,100,666,,,,
,62907,576.37134,560.0864,227.89871,,,,255
,62924,549.86395,558.8283,229.27325,,,,255
,62941,502.7126,555.031,231.8475,,,,255
,62959,464.68863,551.0869,233.90224,,,,255
,62974,434.5941,546.91943,236.05902,,,,255
,62991,413.61124,543.25696,237.57536,,,,255
,63007,403.15167,540.2595,238.14413,,,,255
,63025,399.22372,538.335,238.26971,,,,255
,63041,401.02567,536.22626,237.91371,,,,255
,63058,401.02567,536.22626,237.91371,,,,255
,63074,414.69177,532.19836,237.30495,,,,255
,63090,444.10117,527.40204,237.33441,,,,255
,63109,528.13684,521.92303,239.5727,,,,255
,63123,528.13684,521.92303,239.5727,,,,255
