Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",100,90,100,,,,
,46008,848.31104,538.88916,354.76785,,,,0
,46056,890.37256,544.1884,361.9281,,,,0
,46090,879.01263,536.65753,352.42847,,,,0
,46123,805.8753,510.2611,324.50565,,,,255
,46157,707.08417,485.61743,299.01733,,,,255
,46190,628.75757,461.82178,272.63385,,,,255
,46224,601.7027,446.5841,257.41934,,,,255
,46257,613.31665,435.07745,252.37611,,,,255
,46290,727.6627,428.7475,249.15617,,,,255
,46324,856.7921,438.24976,258.16486,,,,0
,46357,1044.8691,459.47192,276.39655,,,,0
,46389,1171.6198,483.74554,290.85583,,,,234
,46422,1293.7894,521.9399,297.5944,,,,234
,46457,1311.0266,533.5474,288.409,,,,234
,46488,1265.8964,524.37915,249.77577,,,,234
,46507,1231.8973,502.84717,219.73299,,,,234
,46540,1187.9442,451.25256,189.70361,,,,234
,46573,1164.8809,360.7359,169.1838,,,,234
,46605,1199.4714,270.3421,160.11336,,,,0
,46639,1256.6719,216.09723,161.33568,,,,0
,46673,1357.7207,172.00232,168.28809,,,,0
,46705,1468.6471,163.05286,165.53488,,,,0
,46739,1544.2914,178.9732,170.41376,,,,0
,46772,1617.8584,239.72852,176.16724,,,,234
,46805,1649.5697,337.5406,183.94287,,,,234
,46838,1616.3356,442.26385,202.64606,,,,234
,46872,1544.8821,513.5102,206.82593,,,,234
,46905,1389.3071,596.9314,201.87459,,,,234
,46939,1189.6937,654.46747,189.2211,,,,234
,46972,1030.5284,672.78033,183.98369,,,,0
,47006,835.45074,656.43945,186.40678,,,,0
,47039,689.30505,593.1939,188.18617,,,,255
,47056,663.67035,572.3141,189.19803,,,,255
,47089,598.992,477.1292,190.98068,,,,255
,47122,582.3932,379.98126,199.16037,,,,255
,47155,588.5321,301.26672,199.1814,,,,255
,47189,611.82733,258.65692,196.21277,,,,255
,47222,679.4723,232.95062,198.69627,,,,0
,47255,813.4404,242.80127,200.77588,,,,0
,47288,946.25665,283.06927,210.1387,,,,0
,47322,1112.7573,357.4278,234.10265,,,,0
,47355,1217.1332,436.97302,250.55702,,,,234
,47389,1242.938,493.84747,257.6294,,,,234
,47422,1204.0339,558.4346,260.83716,,,,234
,47442,1156.0808,589.28546,258.15247,,,,234
,47475,1009.9672,644.14404,247.56697,,,,0
,47507,867.2803,673.5818,237.88745,,,,0
,47541,708.1722,689.1049,229.57558,,,,255
,47573,457.8456,666.5138,227.209,,,,255
,47608,358.93198,622.11194,232.28513,,,,255
,47640,300.8177,536.60767,235.99191,,,,255
,47674,343.7782,441.99487,240.65808,,,,255
,47706,435.8331,374.4619,240.20686,,,,255
,47740,612.4581,292.70978,245.52792,,,,255
,47773,826.61194,232.55945,255.66905,,,,0
,47806,1040.8754,209.89783,267.54614,,,,0
,47840,1184.5211,214.76624,275.52466,,,,0
,47873,1355.7285,259.8739,272.58136,,,,234
,47905,1460.2522,331.4914,265.50488,,,,234
,47939,1486.86,399.1731,255.72452,,,,234
,47972,1460.7705,481.15686,242.79663,,,,234
,48006,1376.6257,524.96423,223.3383,,,,234
,48039,1277.3829,527.09564,212.27586,,,,234
,48072,1118.4222,491.38184,201.15308,,,,234
,48105,934.68994,429.0655,198.8836,,,,0
,48139,787.9643,381.95972,200.07416,,,,255
,48172,599.43054,343.1427,205.31013,,,,255
,48205,447.2921,335.6018,211.88461,,,,255
,48239,386.44562,360.97595,219.95932,,,,255
,48272,389.9496,430.59784,242.37,,,,255
,48305,493.62625,523.9914,265.932,,,,255
,48339,678.5312,614.63403,287.52203,,,,255
,48372,846.48346,660.61743,306.42313,,,,0
,48406,1063.1022,668.0019,309.30862,,,,0
,48439,1238.6548,628.197,299.72076,,,,234
,48472,1330.9459,577.62494,281.19226,,,,234
,48505,1388.9137,494.443,253.44946,,,,234
,48538,1376.5012,399.34857,227.99007,,,,234
,48572,1315.6597,331.813,204.9044,,,,234
,48606,1180.5275,259.37097,183.88799,,,,0
,48638,1000.6763,214.86456,167.8714,,,,0
,48672,856.4218,209.38538,167.77103,,,,0
,48706,670.64307,253.61871,172.10739,,,,255
,48739,575.0524,329.5055,205.50807,,,,255
