Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",100,70,100,,,,
,63141,552.00824,522.3046,240.41367,,,,255
,63159,601.80084,523.57684,241.62833,,,,255
,63173,648.0908,526.3559,242.24222,,,,255
,63192,728.66846,531.35486,239.71097,,,,255
,63207,728.66846,531.35486,239.71097,,,,255
,63225,761.4813,534.17847,238.35455,,,,255
,63242,774.9426,535.2629,237.77176,,,,255
,63258,794.79706,536.4093,236.33127,,,,255
,63273,807.49457,537.11224,234.28415,,,,255
,63292,808.62366,537.231,233.42561,,,,255
,63308,807.61475,537.29364,232.5668,,,,255
